baths,baths_full,baths_half,beds,garage,lot_sqft,sold_date,sold_price,sqft,stories,type,year_built,is_price_reduced,list_date,list_price,listing_id,city,lat,lon,line,postal_code,state,state_code,price_reduced_amount,property_id,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,disability_features,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,laundry_room,master_bedroom,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer
2.0,2.0,0.0,3.0,1.0,3485.0,2024-01-16,259900,1963.0,2.0,single_family,1933.0,False,2023-12-04T22:28:39.000000Z,259900,2962222019,Lincoln,40.783403,-96.696476,1707 Otoe St,68502,Nebraska,NE,10000.0,8474302107,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4.0,3.0,1.0,6.0,3.0,13939.0,2024-01-16,644000,4006.0,2.0,single_family,1996.0,False,2023-09-07T16:39:30.000000Z,639000,2959451155,Lincoln,40.750953,-96.616857,7620 Stevens Ridge Rd,68516,Nebraska,NE,0.0,7691862344,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
4.0,4.0,0.0,6.0,2.0,6098.0,2024-01-16,355000,2774.0,2.0,single_family,1988.0,False,2023-12-08T21:21:14.000000Z,359900,2962346182,Lincoln,40.859955,-96.68886,2118 Preamble Ct,68521,Nebraska,NE,0.0,7106649355,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,0.0,4.0,3.0,7085.0,2024-01-15,360000,2683.0,1.0,single_family,2015.0,False,2023-12-01T15:45:26.000000Z,405000,2962110298,Lincoln,40.722685,-96.619601,7325 Yankee Woods Dr,68516,Nebraska,NE,0.0,7205802043,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,0.0,2.0,0.0,6970.0,2024-01-12,134000,785.0,1.0,single_family,1955.0,False,2024-01-01T14:35:01.000000Z,144900,2962826454,Lincoln,40.838597,-96.637815,2601 N 61st St,68507,Nebraska,NE,0.0,8239445138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2.0,2.0,0.0,2.0,2.0,4400.0,2024-01-12,190000,1850.0,1.0,townhomes,1979.0,False,2023-11-11T06:09:16.000000Z,200000,2961552869,Lincoln,40.755801,-96.693709,1827 Normandy Ln,68512,Nebraska,NE,0.0,8493845908,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2.0,1.0,0.0,2.0,2.0,4356.0,2024-01-12,640000,2636.0,2.0,townhomes,1989.0,False,2023-10-18T00:35:32.000000Z,650000,2960637826,Lincoln,40.774984,-96.593701,3800 Firethorn Ct,68520,Nebraska,NE,0.0,8318627561,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2.0,1.0,1.0,3.0,2.0,6505.0,2024-01-12,215000,1028.0,2.0,single_family,1994.0,False,2023-11-15T21:06:21.000000Z,222300,2961714218,Lincoln,40.854411,-96.796799,4037 NW 57th St,68524,Nebraska,NE,11700.0,7909329601,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4.0,2.0,1.0,3.0,3.0,10019.0,2024-01-12,415000,3376.0,2.0,single_family,1998.0,False,2023-10-09T19:37:19.000000Z,425000,2960385755,Lincoln,40.835051,-96.611487,8055 Leighton Ave,68507,Nebraska,NE,0.0,8415029480,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,0.0,3.0,2.0,10454.0,2024-01-12,707000,3261.0,2.0,single_family,1925.0,False,2023-10-19T14:44:42.000000Z,695000,2960689058,Lincoln,40.786052,-96.676731,2656 Rathbone Rd,68502,Nebraska,NE,0.0,7717932943,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
