baths,baths_full,baths_half,beds,garage,lot_sqft,sold_price,sqft,stories,type,year_built,is_price_reduced,city,lat,lon,postal_code,state,state_code,property_id,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,laundry_room,master_bedroom,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer,sold_month,sold_year,list_month,list_year,time_on_market,Median Age,Total Population,Average Household Size
2,2,0,3,1,10454.0,554950.0,1821.0,1,single_family,1963,False,Juneau,58.36395,-134.59372,99801,Alaska,AK,9074430767,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,9,2023,6,2023,81,33.28458401305057,33000.0,2.4684828711256115
1,1,0,2,0,2334077.722222222,415000.0,950.0,1,condos,1969,False,Juneau,58.386651,-134.649067,99801,Alaska,AK,7412309719,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2023,8,2023,-17,33.28458401305057,33000.0,2.4684828711256115
3,3,0,5,2,5875.0,835000.0,3860.0,1,single_family,1920,False,Juneau,58.304573,-134.403991,99801,Alaska,AK,7660490777,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,2023,8,2023,-18,33.28458401305057,33000.0,2.4684828711256115
2,2,0,3,2,11761.0,129900.0,1478.0,1,single_family,1998,False,Montgomery,32.389075,-86.178412,36117,Alabama,AL,8846541030,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2024,12,2023,28,35.4,200586.0,2.41
2,2,0,4,1,6534.0,88500.0,1389.0,2,single_family,1945,False,Montgomery,32.382748,-86.273286,36107,Alabama,AL,7727981021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2024,11,2023,67,35.4,200586.0,2.41
2,2,0,3,0,17424.0,145000.0,2058.0,1,single_family,1969,False,Montgomery,32.380023,-86.221454,36109,Alabama,AL,7320925131,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2024,12,2023,28,35.4,200586.0,2.41
2,2,0,3,0,9712.0,65000.0,1432.0,1,single_family,1955,False,Montgomery,32.386844,-86.284387,36107,Alabama,AL,7231604965,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2024,7,2023,195,35.4,200586.0,2.41
2,2,0,3,0,10890.0,169000.0,1804.0,1,single_family,1984,False,Montgomery,32.351898,-86.232662,36106,Alabama,AL,7700690979,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2024,10,2023,75,35.4,200586.0,2.41
2,2,0,3,0,12632.0,180000.0,1476.0,1,single_family,1999,False,Montgomery,32.405798,-86.200885,36117,Alabama,AL,8798505230,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2024,12,2023,35,35.4,200586.0,2.41
2,2,0,4,0,12632.0,260000.0,1888.0,1,single_family,2001,True,Montgomery,32.37089,-86.161376,36117,Alabama,AL,7117799851,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2024,11,2023,46,35.4,200586.0,2.41
2,2,0,3,0,13068.0,60000.0,1722.0,1,single_family,1962,False,Montgomery,32.323353,-86.291318,36116,Alabama,AL,8922976627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2024,2,2023,322,35.4,200586.0,2.41
2,2,0,3,2,11326.0,159000.0,1635.0,1,single_family,1965,False,Montgomery,32.37021,-86.251939,36109,Alabama,AL,8224034280,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2024,11,2023,43,35.4,200586.0,2.41
